token	relrole	arcpath	lemma	upos	widx	token
Bar-b361_99_Migration-1	adaptation_comment	nmod>case>	of	ADP	2	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nmod>compound>	barn	NOUN	3	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nmod>	swallow	NOUN	4	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nmod>nmod>case>	between	ADP	5	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nmod>nmod>compound>	Britain	PROPN	6	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nmod>nmod>	Africa	PROPN	9	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<aux:pass>	be	AUX	10	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advmod>	first	ADV	11	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<	establish	VERB	12	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<obl>case>	on	ADP	13	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<obl>nummod>	23	NUM	14	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<obl>	December	PROPN	15	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<obl>nummod>	1912	NUM	16	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advcl>mark>	when	ADV	17	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advcl>nsubj:pass>	bird	NOUN	19	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advcl>aux:pass>	be	AUX	33	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advcl>	find	VERB	34	Bar-b361_99_Migration-1
Bar-b361_99_Migration-1	adaptation_comment	nsubj:pass<advcl>obl>	Natal	PROPN	36	Bar-b361_99_Migration-1
Bar-b361_164_migration-28	adaptation_comment	nmod<conj<xcomp<	find	VERB	16	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<conj<mark>	to	PART	17	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<conj<	migrate	VERB	18	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<conj<obl>	age	NOUN	22	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<	fuel	NOUN	24	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<advmod>advmod>	less	ADV	25	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<advmod>	efficiently	ADV	26	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	case>	during	ADP	27	Bar-b361_164_migration-28
Bar-b361_164_migration-28	adaptation_comment	nmod<conj<conj>	have	VERB	30	Bar-b361_164_migration-28
Bar-b361_206_migration-12	adaptation_comment	obl<nsubj:pass>amod>	many	ADJ	1	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<nsubj:pass>amod>	literary	ADJ	2	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<nsubj:pass>	reference	NOUN	3	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<aux:pass>	be	AUX	4	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<	base	VERB	5	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	case>	on	ADP	6	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	nmod:poss>det>	the	DET	7	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	nmod:poss>compound>	barn	NOUN	8	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	nmod:poss>	swallow	NOUN	9	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	nmod:poss>case>	's	PART	10	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	amod>	northward	ADJ	11	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<obl>case>	as	ADP	13	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<obl>det>	a	DET	14	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<obl>	symbol	NOUN	15	Bar-b361_206_migration-12
Bar-b361_206_migration-12	adaptation_comment	obl<obl>nmod>	spring	NOUN	17	Bar-b361_206_migration-12
Bar-b361_121_migration-14	adaptation_comment	obl<nsubj>amod>	re	ADJ	1	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<nsubj>	bed	NOUN	2	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<cop>	be	AUX	3	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<det>	a	DET	4	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<amod>	important	ADJ	5	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<	source	NOUN	6	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<nmod>case>	of	ADP	7	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<nmod>	food	NOUN	8	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	case>	prior	ADJ	9	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	case>fixed>	to	ADP	10	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	cc>	and	CCONJ	11	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	case>	whilst	SCONJ	12	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	case>	on	ADP	13	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<parataxis>advcl>	migrant	NOUN	23	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<parataxis>nsubj>	bed	NOUN	41	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<parataxis>	enable	VERB	42	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<parataxis>obj>	deposit	NOUN	44	Bar-b361_121_migration-14
Bar-b361_121_migration-14	adaptation_comment	obl<parataxis>xcomp>	establish	VERB	47	Bar-b361_121_migration-14
Bar-b361_227_migration-2	adaptation_comment	amod>	Swallow	ADJ	1	Bar-b361_227_migration-2
Bar-b361_227_migration-2	adaptation_comment	nmod>case>	versus	ADP	3	Bar-b361_227_migration-2
Bar-b361_227_migration-2	adaptation_comment	nmod>	hibernation	NOUN	4	Bar-b361_227_migration-2
Bar-b361_12_migration-28	adaptation_comment	conj<nmod<obl<	swallow	VERB	9	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod<case>	due	ADP	15	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod<cc:preconj>	both	CCONJ	17	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod<nmod:poss>	its	PRON	18	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod<	live	NOUN	19	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<case>	in	ADP	20	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<amod>	close	ADJ	21	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<	proximity	NOUN	22	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod>case>	to	ADP	23	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	conj<nmod>	human	NOUN	24	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	cc>	and	CCONJ	25	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	nmod:poss>	its	PRON	26	Bar-b361_12_migration-28
Bar-b361_12_migration-28	adaptation_comment	amod>	annual	ADJ	27	Bar-b361_12_migration-28
Bar-b361_142_territorial-14	adaptation_comment	conj<conj<nsubj>	sex	NOUN	2	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<conj<	defend	VERB	3	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<conj<obj>	nest	NOUN	5	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<cc>	but	CCONJ	7	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<nsubj>det>	the	DET	8	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<nsubj>	male	NOUN	9	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<cop>	be	AUX	10	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<advmod>	particularly	ADV	11	Bar-b361_142_territorial-14
Bar-b361_142_territorial-14	adaptation_comment	conj<	aggressive	ADJ	12	Bar-b361_142_territorial-14
