token	relrole	arcpath	lemma	upos	widx	token
Sol0749_9_predators-24	adaptation_comment	nmod<acl:relcl<obl<	live	VERB	11	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<acl:relcl<case>	in	ADP	12	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<acl:relcl<amod>	hot	ADJ	13	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<acl:relcl<amod>	dry	ADJ	14	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<acl:relcl<	desert	NOUN	15	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<advmod>	where	ADV	17	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<nsubj>	they	PRON	18	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<cop>	be	AUX	19	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	nmod<	one	NUM	20	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	case>	of	ADP	21	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	det>	the	DET	22	Sol0749_9_predators-24
Sol0749_9_predators-24	adaptation_comment	amod>	top	ADJ	23	Sol0749_9_predators-24
Pre10d6_97_predator-2	adaptation_comment	amod>	electric	ADJ	1	Pre10d6_97_predator-2
Pre10d6_103_Predator-1	adaptation_comment	compound<	paradise	NOUN	2	Pre10d6_103_Predator-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<cop>	be	AUX	2	Pre10d6_108_Predators-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<	creature	NOUN	3	Pre10d6_108_Predators-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<acl:relcl>nsubj>	that	PRON	4	Pre10d6_108_Predators-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<acl:relcl>	catch	VERB	5	Pre10d6_108_Predators-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<acl:relcl>conj>	kill	VERB	7	Pre10d6_108_Predators-1
Pre10d6_108_Predators-1	adaptation_comment	nsubj<acl:relcl>obj>	animal	NOUN	9	Pre10d6_108_Predators-1
Pre-0725_83_predators-8	adaptation_comment	compound>	Ambush	PROPN	1	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	compound>conj>cc>	or	CCONJ	2	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	compound>conj>	sit	VERB	3	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	compound>conj>conj>	wait	VERB	7	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<cop>	be	AUX	9	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<amod>	carnivorous	ADJ	10	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<	animal	NOUN	11	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<acl:relcl>nsubj>	that	PRON	12	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<acl:relcl>	capture	VERB	13	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<acl:relcl>obj>	prey	NOUN	14	Pre-0725_83_predators-8
Pre-0725_83_predators-8	adaptation_comment	nsubj<acl:relcl>obl>	stealth	NOUN	16	Pre-0725_83_predators-8
Amb-b5dc_34_Camouflage-3	adaptation_comment	appos<	Concealment	NOUN	1	Amb-b5dc_34_Camouflage-3
Pre-0725_86_predators-6	adaptation_comment	case>	among	ADP	1	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	det>	the	DET	2	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	amod>	many	ADJ	3	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	amod>	invertebrate	ADJ	4	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<cop>	be	AUX	7	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<amod>	trapdoor	ADJ	8	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<	spider	NOUN	9	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<conj>cc>	and	CCONJ	10	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<conj>amod>	Australian	ADJ	11	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<conj>compound>	crab	NOUN	12	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<conj>	spider	NOUN	13	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<nmod>case>	on	ADP	14	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<nmod>compound>	land	NOUN	15	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<nmod>	shrimp	NOUN	18	Pre-0725_86_predators-6
Pre-0725_86_predators-6	adaptation_comment	nsubj<nmod>nmod>	sea	NOUN	21	Pre-0725_86_predators-6
Pre-0725_88_predators-3	adaptation_comment	det>	some	DET	1	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<advmod>	also	ADV	4	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<	use	VERB	5	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<obj>	lure	NOUN	6	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<advcl>mark>	to	PART	7	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<advcl>	attract	VERB	8	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<advcl>obj>	prey	NOUN	9	Pre-0725_88_predators-3
Pre-0725_88_predators-3	adaptation_comment	nsubj<advcl>obl>	range	NOUN	12	Pre-0725_88_predators-3
Cra7d1e_3_camouflage-6	adaptation_comment	advmod>	instead	ADV	1	Cra7d1e_3_camouflage-6
Cra7d1e_3_camouflage-6	adaptation_comment	nsubj>	they	PRON	3	Cra7d1e_3_camouflage-6
Cra7d1e_3_camouflage-6	adaptation_comment	advmod>	rely	ADV	4	Cra7d1e_3_camouflage-6
Cra7d1e_3_camouflage-6	adaptation_comment	case>	on	ADP	5	Cra7d1e_3_camouflage-6
Cra7d1e_3_camouflage-6	adaptation_comment	conj>cc>	and	CCONJ	7	Cra7d1e_3_camouflage-6
Cra7d1e_3_camouflage-6	adaptation_comment	conj>	ambush	NOUN	8	Cra7d1e_3_camouflage-6
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<conj<advcl<	Ambush	VERB	1	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<conj<mark>	whether	SCONJ	7	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<conj<mark>	by	SCONJ	8	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<conj<	stay	VERB	9	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<conj<obl>	sight	NOUN	12	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<cc>	or	CCONJ	13	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<case>	by	ADP	14	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	nmod<	means	NOUN	15	Amb-b5dc_20_camouflage-17
Amb-b5dc_20_camouflage-17	adaptation_comment	case>	of	ADP	16	Amb-b5dc_20_camouflage-17
