token	relrole	arcpath	lemma	upos	widx	token
Amo-76d8_4_flowering-44	adaptation_comment	compound<obl<acl:relcl<	odour	NOUN	39	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<obl<nsubj>	it	PRON	40	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<obl<	produce	VERB	41	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<case>	during	ADP	42	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<nmod:poss>	its	PRON	43	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<	period	NOUN	45	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>nsubj>	which	PRON	47	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>aux>	can	AUX	48	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>	take	VERB	49	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>compound:prt>	up	ADP	50	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>obl>	year	NOUN	53	Amo-76d8_4_flowering-44
Amo-76d8_4_flowering-44	adaptation_comment	compound<acl:relcl>advcl>	occurs	VERB	58	Amo-76d8_4_flowering-44
Amo-ffe8_49_flowerings-4	adaptation_comment	det>	the	DET	1	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	amod>	first	ADJ	2	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	amod>	documen	VERB	3	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nmod>case>	in	ADP	5	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nmod>det>	the	DET	6	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nmod>compound>	United	PROPN	7	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nmod>	States	PROPN	8	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<cop>	be	AUX	9	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<case>	at	ADP	10	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<det>	the	DET	11	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<compound>compound>	York	PROPN	13	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<compound>	Botanical	PROPN	14	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<	garden	PROPN	15	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<nmod>case>	in	ADP	16	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<nmod>	1937	NUM	17	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<conj>cc>	and	CCONJ	18	Amo-ffe8_49_flowerings-4
Amo-ffe8_49_flowerings-4	adaptation_comment	nsubj<conj>	1939	NUM	19	Amo-ffe8_49_flowerings-4
Bam-5151_268_flowering-4	adaptation_comment	det>	the	DET	1	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	amod>advmod>	most	ADV	2	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	amod>	recent	ADJ	3	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<	begin	VERB	5	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<obl>case>	in	ADP	6	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<obl>	May	PROPN	7	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<obl>nummod>	2006	NUM	8	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<parataxis>	see	VERB	10	Bam-5151_268_flowering-4
Bam-5151_268_flowering-4	adaptation_comment	nsubj<parataxis>obj>	Mautam	PROPN	11	Bam-5151_268_flowering-4
Gal-eda5_79_flowering-2	adaptation_comment	amod>	late	ADJ	1	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>obl>advmod>	often	ADV	4	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>obl>case>	into	ADP	5	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>obl>	April	PROPN	6	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>nsubj>	G.	PROPN	7	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>	nivalis	VERB	8	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>obj>	Warei	PROPN	10	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	parataxis>obj>appos>	triploid	NOUN	16	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	nmod>case>	with	ADP	18	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	nmod>amod>obl:npmod>	green	ADJ	19	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	nmod>amod>	tip	VERB	21	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	nmod>amod>	outer	ADJ	22	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	nmod>	segments	NOUN	23	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>	similar	ADJ	25	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>obl>case>	to	ADP	26	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>obl>	Viridapice	NOUN	28	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>obl>conj>	larger	ADJ	31	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>obl:npmod>nummod>	11	NUM	39	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>obl:npmod>	cm	NOUN	40	Gal-eda5_79_flowering-2
Gal-eda5_79_flowering-2	adaptation_comment	amod>	long	ADJ	41	Gal-eda5_79_flowering-2
Gal-eda5_76_flowering-24	adaptation_comment	compound<nmod<nmod<	spathes	NOUN	15	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<nmod<case>	around	ADP	17	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<nmod<det:predet>	half	DET	18	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<nmod<det>	the	DET	19	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<nmod<	height	NOUN	20	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<case>	of	ADP	21	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<det>	the	DET	22	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<amod>	entire	ADJ	23	Gal-eda5_76_flowering-24
Gal-eda5_76_flowering-24	adaptation_comment	compound<	shoot	NOUN	25	Gal-eda5_76_flowering-24
Titcfb6_11_flowering-7	adaptation_comment	compound<nmod<nsubj>	arum	NOUN	2	Titcfb6_11_flowering-7
Titcfb6_11_flowering-7	adaptation_comment	compound<nmod<cop>	be	AUX	3	Titcfb6_11_flowering-7
Titcfb6_11_flowering-7	adaptation_comment	compound<nmod<amod>	true	ADJ	4	Titcfb6_11_flowering-7
Titcfb6_11_flowering-7	adaptation_comment	compound<nmod<	giant	NOUN	5	Titcfb6_11_flowering-7
Titcfb6_11_flowering-7	adaptation_comment	compound<case>	amongst	ADP	6	Titcfb6_11_flowering-7
Titcfb6_11_flowering-7	adaptation_comment	compound<	plant	NOUN	8	Titcfb6_11_flowering-7
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<aux>	can	AUX	2	Nar-e858_614_Flowering-1
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<aux:pass>	be	AUX	3	Nar-e858_614_Flowering-1
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<	delay	VERB	4	Nar-e858_614_Flowering-1
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<advcl>mark>	by	SCONJ	5	Nar-e858_614_Flowering-1
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<advcl>	storing	VERB	6	Nar-e858_614_Flowering-1
Nar-e858_614_Flowering-1	adaptation_comment	nsubj:pass<advcl>obl>	°C.	PROPN	10	Nar-e858_614_Flowering-1
Nar-f40f_2_flowering-22	adaptation_comment	compound<nsubj>	Narcissus	PROPN	1	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<nsubj>flat>	pseudonarcissus	NOUN	2	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<nsubj>acl>	name	VERB	5	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<cop>	be	AUX	19	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<det>	a	DET	20	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<amod>	perennial	ADJ	21	Nar-f40f_2_flowering-22
Nar-f40f_2_flowering-22	adaptation_comment	compound<	plant	NOUN	23	Nar-f40f_2_flowering-22
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<advcl<	number	NOUN	2	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<mark>	since	SCONJ	54	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<nsubj>	they	PRON	55	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<cop>	be	AUX	56	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<	essential	ADJ	57	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<obl<advcl>	nourishe	VERB	59	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<case>	for	ADP	62	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<det>	the	DET	63	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<amod>	next	ADJ	64	Nar-e858_457_flowering-65
Nar-e858_457_flowering-65	adaptation_comment	compound<	season	NOUN	66	Nar-e858_457_flowering-65
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<advcl<	use	VERB	4	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<mark>	although	SCONJ	12	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<amod>advmod>	in	ADV	13	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<amod>	common	ADJ	14	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<case>	with	ADP	15	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<amod>	many	ADJ	16	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<amod>	bulbous	ADJ	17	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<	plant	NOUN	19	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<nsubj:pass>	they	PRON	20	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<aux:pass>	be	AUX	21	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<advmod>	often	ADV	22	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<	induce	VERB	23	Lil-43fd_175_flowering-18
Lil-43fd_175_flowering-18	adaptation_comment	compound<obl<xcomp>	bloom	VERB	25	Lil-43fd_175_flowering-18
Tul-9a00_240_flowering-8	adaptation_comment	compound<obl<nsubj>	they	PRON	1	Tul-9a00_240_flowering-8
Tul-9a00_240_flowering-8	adaptation_comment	compound<obl<aux>	may	AUX	2	Tul-9a00_240_flowering-8
Tul-9a00_240_flowering-8	adaptation_comment	compound<obl<advmod>	also	ADV	3	Tul-9a00_240_flowering-8
Tul-9a00_240_flowering-8	adaptation_comment	compound<obl<aux:pass>	be	AUX	4	Tul-9a00_240_flowering-8
Tul-9a00_240_flowering-8	adaptation_comment	compound<obl<	classify	VERB	5	Tul-9a00_240_flowering-8
