token	relrole	arcpath	lemma	upos	widx	token
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<nsubj>	beavers	NOUN	1	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<cop>	be	AUX	2	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<	generalist	NOUN	4	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<nmod>case>	with	ADP	5	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<nmod>amod>	sophisticated	ADJ	6	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<nmod>amod>	forage	ADJ	7	Nor-c9d9_135_herbivorous-3
Nor-c9d9_135_herbivorous-3	adaptation_comment	amod<nmod>	preference	NOUN	8	Nor-c9d9_135_herbivorous-3
Nor-c9d9_122_Social-1	adaptation_comment	amod<	behavior	NOUN	2	Nor-c9d9_122_Social-1
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<obl<	consume	VERB	10	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<case>	in	ADP	16	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<det>	a	DET	17	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<amod>	brief	ADJ	18	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<amod>	converge	VERB	19	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<nmod<	time	NOUN	20	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<case>	of	ADP	21	Sno-0a8f_437_hibernation-22
Sno-0a8f_437_hibernation-22	adaptation_comment	compound<	emergence	NOUN	23	Sno-0a8f_437_hibernation-22
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<mark>	while	SCONJ	1	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<aux>	have	AUX	3	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advmod>	long	ADV	4	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<aux:pass>	be	AUX	5	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<	study	VERB	6	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<obl>case>	in	ADP	7	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<obl>	rodent	NOUN	8	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<obl>advmod>	namely	ADV	10	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<obl>compound>	ground	NOUN	11	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<obl>	squirrel	NOUN	12	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advcl<nsubj:pass>	primate	NOUN	15	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advcl<aux:pass>	be	AUX	19	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advcl<	know	VERB	20	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advcl<xcomp>	hibernate	VERB	22	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-2	adaptation_comment	nsubj:pass<advcl<obl>	lemur	NOUN	34	Hib-c4bb_44_hibernation-2
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<obl<xcomp<	know	VERB	20	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<obl<mark>	to	PART	21	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<obl<	hibernate	VERB	22	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<case>	until	ADP	23	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<det>	the	DET	24	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	nmod<	discovery	NOUN	25	Hib-c4bb_44_hibernation-27
Hib-c4bb_44_hibernation-27	adaptation_comment	case>	of	ADP	26	Hib-c4bb_44_hibernation-27
Arc-00d6_37_Hibernation-3	adaptation_comment	appos<	behaviour	NOUN	1	Arc-00d6_37_Hibernation-3
Arc-00d6_39_hibernation-2	adaptation_comment	case>	during	ADP	1	Arc-00d6_39_hibernation-2
Arc-00d6_39_hibernation-2	adaptation_comment	obl<nsubj>	it	PRON	4	Arc-00d6_39_hibernation-2
Arc-00d6_39_hibernation-2	adaptation_comment	obl<cop>	be	AUX	5	Arc-00d6_39_hibernation-2
Arc-00d6_39_hibernation-2	adaptation_comment	obl<compound>compound>	core	NOUN	6	Arc-00d6_39_hibernation-2
