token	relrole	arcpath	lemma	upos	widx	token
Sta-6168_18_predator-16	adaptation_comment	nsubj>det>	the	DET	1	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nsubj>amod>	tropical	ADJ	2	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nsubj>	crown	NOUN	3	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nsubj>appos>compound>	thorn	NOUN	7	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nsubj>appos>	starfish	NOUN	8	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nsubj>appos>appos>	planci	NOUN	11	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	cop>	be	AUX	13	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	det>	a	DET	14	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	amod>	voracious	ADJ	15	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>case>	of	ADP	17	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>	coral	ADJ	18	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>obl>case>	throughout	ADP	19	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>obl>det>	the	DET	20	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>obl>compound>	Pacific	PROPN	23	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	nmod>obl>	region	NOUN	24	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>cc>	and	CCONJ	26	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nsubj>det>	the	DET	27	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nsubj>compound>	Northern	PROPN	28	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nsubj>compound>	Pacific	PROPN	29	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nsubj>	seastar	PROPN	30	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>cop>	be	AUX	31	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>case>	on	ADP	32	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>det>	the	DET	33	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>	list	NOUN	34	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nmod>case>	of	ADP	35	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nmod>nmod:poss>	world	PROPN	37	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nmod>compound>	worst	PROPN	40	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nmod>compound>	Alien	PROPN	42	Sta-6168_18_predator-16
Sta-6168_18_predator-16	adaptation_comment	conj>nmod>	species	NOUN	43	Sta-6168_18_predator-16
Ech-1003_297_predators-7	adaptation_comment	nmod<nmod<det>	a	DET	1	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	nmod<nmod<	diminution	NOUN	2	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	nmod<case>	of	ADP	3	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	nmod<det>	the	DET	4	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	nmod<	number	NOUN	5	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	case>	of	ADP	6	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	appos>	otter	NOUN	9	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	appos>conj>	lobsters	NOUN	11	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	appos>conj>cc>	and	CCONJ	12	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	appos>conj>	fish	NOUN	13	Ech-1003_297_predators-7
Ech-1003_297_predators-7	adaptation_comment	nmod<nmod<nsubj<	result	VERB	16	Ech-1003_297_predators-7
Ant-85c0_112_predators-37	adaptation_comment	nmod<parataxis<xcomp<	size	VERB	25	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<parataxis<mark>	to	PART	26	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<parataxis<	suit	VERB	27	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<parataxis<obj>	organism	NOUN	29	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<obj>amod>	perch	VERB	31	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<obj>	place	NOUN	32	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<	barrier	NOUN	34	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	case>	to	ADP	35	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	amod>	large	ADJ	36	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<conj>cc>	and	CCONJ	38	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<conj>amod>	solid	ADJ	39	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<conj>	structure	NOUN	40	Ant-85c0_112_predators-37
Ant-85c0_112_predators-37	adaptation_comment	nmod<conj>acl>	grow	VERB	44	Ant-85c0_112_predators-37
Sta-6168_12_predators-8	adaptation_comment	conj<nsubj>	they	PRON	1	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	conj<cop>	be	AUX	2	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	conj<amod>	opportunistic	ADJ	3	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	conj<	feeder	NOUN	4	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	cc>	and	CCONJ	5	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	cop>	be	AUX	6	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	advmod>	mostly	ADV	7	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	nmod>case>	on	ADP	9	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	nmod>amod>	benthic	ADJ	10	Sta-6168_12_predators-8
Sta-6168_12_predators-8	adaptation_comment	nmod>	invertebrate	NOUN	11	Sta-6168_12_predators-8
Ech-1003_286_predator-19	adaptation_comment	obj<ccomp<nsubj>	star	NOUN	4	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<ccomp<aux>	may	AUX	5	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<ccomp<	undergo	VERB	6	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<ccomp<obj>	autotomy	NOUN	7	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<ccomp<advcl>	attack	VERB	9	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<nsubj>	this	PRON	15	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<aux>	may	AUX	16	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<	distract	VERB	17	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	det>	the	DET	18	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<obl>case>	for	ADP	20	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<obl>advmod>	enough	ADV	22	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<obl>case>	for	ADP	23	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<obl>det>	the	DET	24	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<obl>	animal	NOUN	25	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<advcl>mark>	to	PART	26	Ech-1003_286_predator-19
Ech-1003_286_predator-19	adaptation_comment	obj<advcl>	escape	VERB	27	Ech-1003_286_predator-19
Ant-85c0_75_predators-5	adaptation_comment	nsubj>amod>	most	ADJ	1	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	nsubj>	anthozoan	NOUN	2	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	cop>	be	AUX	3	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	amod>	opportunistic	ADJ	4	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	advcl>	catche	VERB	7	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	advcl>obj>	prey	NOUN	8	Ant-85c0_75_predators-5
Ant-85c0_75_predators-5	adaptation_comment	advcl>obj>acl:relcl>	drift	VERB	10	Ant-85c0_75_predators-5
Alv-7b43_98_Symbiotic-4	adaptation_comment	appos<compound>	Alvinella	PROPN	1	Alv-7b43_98_Symbiotic-4
Alv-7b43_98_Symbiotic-4	adaptation_comment	appos<	pompejana	NOUN	2	Alv-7b43_98_Symbiotic-4
Alv-7b43_98_Symbiotic-4	adaptation_comment	flat>	Bacteria	PROPN	5	Alv-7b43_98_Symbiotic-4
Aur-441a_25_predators-13	adaptation_comment	conj<obl<nsubj>	this	PRON	1	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<obl<	allow	VERB	2	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<case>	for	ADP	3	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<amod>	less	ADJ	4	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<	competition	NOUN	5	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<nmod>case>	between	ADP	6	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<nmod>det>	the	DET	7	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<nmod>compound>	moon	NOUN	8	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	conj<nmod>	jellyfish	NOUN	9	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	cc>	and	CCONJ	10	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	amod>	other	ADJ	11	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	compound>	fish	NOUN	12	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	nmod>case>	for	ADP	14	Aur-441a_25_predators-13
Aur-441a_25_predators-13	adaptation_comment	nmod>	zooplankton	NOUN	15	Aur-441a_25_predators-13
Aur-441a_56_predators-20	adaptation_comment	obl<acl:relcl<obl<	comparative	ADJ	10	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<acl:relcl<case>	to	ADP	11	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<acl:relcl<amod>	other	ADJ	12	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<acl:relcl<amod>	prey	ADJ	13	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<acl:relcl<	type	NOUN	14	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<nsubj>	which	PRON	15	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<	provide	VERB	16	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<obj>amod>	vital	ADJ	17	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	obl<obj>	nutrition	NOUN	18	Aur-441a_56_predators-20
Aur-441a_56_predators-20	adaptation_comment	case>	to	ADP	19	Aur-441a_56_predators-20
Aur-441a_57_predators-13	adaptation_comment	nmod<obl<xcomp<	know	VERB	4	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<obl<mark>	to	PART	5	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<obl<aux:pass>	be	AUX	6	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<obl<	eat	VERB	7	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<case>	by	ADP	8	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<det>	a	DET	9	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<amod>	wide	ADJ	10	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	nmod<	variety	NOUN	11	Aur-441a_57_predators-13
Aur-441a_57_predators-13	adaptation_comment	case>	of	ADP	12	Aur-441a_57_predators-13
Aur-441a_23_predators-4	adaptation_comment	amod>	other	ADJ	1	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	amod>	major	ADJ	2	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	compound>	fish	NOUN	3	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>nsubj>	that	PRON	5	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>cop>	be	AUX	6	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>advmod>	also	ADV	7	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>	present	ADJ	8	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>obl>case>	in	ADP	9	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>obl>det>	these	DET	10	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>obl>amod>	coastal	ADJ	11	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	acl:relcl>obl>	water	NOUN	12	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<aux>	do	AUX	13	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<advmod>	not	PART	14	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<	seem	VERB	15	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<xcomp>mark>	to	PART	16	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<xcomp>	show	VERB	17	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<xcomp>obj>	tolerance	NOUN	21	Aur-441a_23_predators-4
Aur-441a_23_predators-4	adaptation_comment	nsubj<xcomp>advcl>	low	VERB	23	Aur-441a_23_predators-4
Aur-441a_31_predators-19	adaptation_comment	obl<conj<obj<	capture	VERB	12	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	obl<conj<	prey	ADJ	13	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	obl<cc>	and	CCONJ	14	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	obl<mark>	to	PART	15	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	obl<	protect	VERB	16	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	obl<obj>	themselves	PRON	17	Aur-441a_31_predators-19
Aur-441a_31_predators-19	adaptation_comment	case>	from	ADP	18	Aur-441a_31_predators-19
Aur-441a_73_sessile-17	adaptation_comment	compound<nmod<amod>	Incidental	ADJ	2	Aur-441a_73_sessile-17
Aur-441a_73_sessile-17	adaptation_comment	compound<nmod<	consumption	NOUN	3	Aur-441a_73_sessile-17
Aur-441a_73_sessile-17	adaptation_comment	compound<nmod<nmod>	ephyra	NOUN	5	Aur-441a_73_sessile-17
