token	relrole	arcpath	lemma	upos	widx	token
Asi-7d4f_109_predators-7	adaptation_comment	obj<nsubj>amod>	adult	ADJ	1	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<nsubj>compound>	water	NOUN	2	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<nsubj>	monitor	NOUN	3	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<	have	VERB	4	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	amod>	few	ADJ	5	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	amod>	natural	ADJ	6	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<conj>cc>	and	CCONJ	9	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<conj>cop>	be	AUX	10	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<conj>advmod>	only	ADV	11	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<conj>	kny	ADJ	12	Asi-7d4f_109_predators-7
Asi-7d4f_109_predators-7	adaptation_comment	obj<conj>xcomp>	prey	VERB	15	Asi-7d4f_109_predators-7
Asi-7d4f_106_predators-13	adaptation_comment	obj<acl<obl<	use	VERB	5	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<acl<case>	as	ADP	6	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<acl<det>	a	DET	7	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<acl<amod>	defensive	ADJ	8	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<acl<	mechanism	NOUN	9	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<mark>	to	PART	10	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<	fend	VERB	11	Asi-7d4f_106_predators-13
Asi-7d4f_106_predators-13	adaptation_comment	obj<compound:prt>	off	ADP	12	Asi-7d4f_106_predators-13
Asi-7d4f_95_scavengers-4	adaptation_comment	conj<nsubj<mark>	as	SCONJ	1	Asi-7d4f_95_scavengers-4
Asi-7d4f_95_scavengers-4	adaptation_comment	conj<	carnivore	NOUN	2	Asi-7d4f_95_scavengers-4
Asi-7d4f_95_scavengers-4	adaptation_comment	cc>	and	CCONJ	3	Asi-7d4f_95_scavengers-4
Asi-7d4f_95_scavengers-4	adaptation_comment	conj<appos>det>	the	DET	6	Asi-7d4f_95_scavengers-4
