token	relrole	arcpath	lemma	upos	widx	token
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod<nsubj>	Ankylosauria	PROPN	1	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod<cop>	be	AUX	2	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod<det>	a	DET	3	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod<	group	NOUN	4	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<case>	of	ADP	5	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<	dinosaur	NOUN	7	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod>case>	of	ADP	8	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod>det>	the	DET	9	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod>compound>	clade	NOUN	10	Ank-02ea_2_herbivorous-6
Ank-02ea_2_herbivorous-6	adaptation_comment	amod<nmod>	Ornithischia	PROPN	11	Ank-02ea_2_herbivorous-6
Thy-db39_5_herbivorous-4	adaptation_comment	nsubj>amod>	most	ADJ	1	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	nsubj>	thyreophoran	NOUN	2	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	cop>	be	AUX	3	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	conj>cc>	and	CCONJ	5	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	conj>	have	VERB	6	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	conj>obj>amod>	small	ADJ	8	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	conj>obj>	brain	NOUN	9	Thy-db39_5_herbivorous-4
Thy-db39_5_herbivorous-4	adaptation_comment	conj>obj>nmod>	size	NOUN	13	Thy-db39_5_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	amod<nsubj>	they	PRON	1	Orn-f740_10_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	amod<cop>	be	AUX	2	Orn-f740_10_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	advmod>	primarily	ADV	3	Orn-f740_10_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	amod<	browser	NOUN	5	Orn-f740_10_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	amod<conj>cc>	or	CCONJ	6	Orn-f740_10_herbivorous-4
Orn-f740_10_herbivorous-4	adaptation_comment	amod<conj>	grazer	NOUN	7	Orn-f740_10_herbivorous-4
